DName,DType,DN_DT,Jahr,Gemeindegebiet,Bevölkerung insgesamt,Bevölkerungsdichte,Landeswert(BD)
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1961,136806,128002,94,219
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1962,136806,131235,96,224
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1963,136806,133560,98,227
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1964,136806,136384,100,231
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1965,136806,139423,102,236
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1966,136804,141269,103,239
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1967,136803,142016,104,240
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1968,136800,144250,105,244
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1969,136797,147349,108,249
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1970,136796,148493,109,250
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1971,136794,151212,111,253
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1972,136321,152812,112,256
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1973,136323,155120,114,258
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1974,135992,155084,114,258
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1975,136002,155694,114,256
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1976,136007,156324,115,255
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1977,135908,156927,115,255
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1978,135908,157826,116,256
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1979,135722,159201,117,257
