DN_DT,Jahr,Bevölkerung insgesamt,Betriebe,Beschäftigte,Gesamtumsatz,Investitionen,Stromverbrauch(Industrie),Stromverbrauch(Haushalt),Beschäftigungsquote
Alb-Donau-Kreis (Landkreis),2003,189101,162,16707,3021712.0,90067.0,2897,1248,0.08834961211204595
Alb-Donau-Kreis (Landkreis),2004,189717,160,16279,3221256.0,101644.0,3062,1279,0.08580675427083498
Alb-Donau-Kreis (Landkreis),2005,190233,164,16288,3291576.0,125685.0,3243,1360,0.08562131701650082
Alb-Donau-Kreis (Landkreis),2006,190189,163,16465,3720086.0,158005.0,3277,1347,0.08657177859918291
Alb-Donau-Kreis (Landkreis),2007,190212,162,17512,4175860.0,144512.0,3726,1318,0.09206569511913024
Alb-Donau-Kreis (Landkreis),2008,190403,165,18264,4498407.0,202217.0,3257,1314,0.09592285835832419
Alb-Donau-Kreis (Landkreis),2009,189884,166,17320,3744477.0,129162.0,2879,1301,0.09121358302963915
Alb-Donau-Kreis (Landkreis),2010,189670,163,17544,4292569.0,109740.0,3226,1326,0.09249749565034006
Alb-Donau-Kreis (Landkreis),2011,186444,164,18361,4687752.0,144942.0,3409,1117,0.09847997253867113
Alb-Donau-Kreis (Landkreis),2012,187123,172,18437,4215001.0,145364.0,3417,1100,0.09852877519065
Alb-Donau-Kreis (Landkreis),2013,187892,177,18556,4470868.0,129966.0,3298,1084,0.0987588614736125
Alb-Donau-Kreis (Landkreis),2014,189129,176,18871,4629482.0,118449.0,3327,1048,0.09977845808945217
Alb-Donau-Kreis (Landkreis),2015,192104,177,18882,4781558.0,123065.0,3373,1068,0.09829050930745846
Alb-Donau-Kreis (Landkreis),2016,193318,176,18852,4770085.0,134159.0,3419,1050,0.09751807902006021
Alb-Donau-Kreis (Landkreis),2017,194629,180,19547,4948207.0,152441.0,3501,1041,0.10043210415713999
Alb-Donau-Kreis (Landkreis),2018,196047,189,20470,5341696.0,199724.0,3579,1012,0.1044137375221248
Alb-Donau-Kreis (Landkreis),2019,197076,192,20961,5469670.0,170195.0,3533,1084,0.10635998295073981
Alb-Donau-Kreis (Landkreis),2020,198204,196,20498,5221626.0,139151.0,3461,1076,0.10341869992532945
Alb-Donau-Kreis (Landkreis),2021,199732,191,20498,5920332.0,145529.0,3348,1138,0.10262752087797648
Alb-Donau-Kreis (Landkreis),2022,200294,185,20944,6409035.0,169104.0,3509,1098,0.10456628755729078
Baden-Baden (kreisfreie Stadt),2003,53938,43,4997,766608.0,21692.0,138,356,0.09264340539137528
Baden-Baden (kreisfreie Stadt),2004,54301,43,4967,780307.0,23561.0,146,366,0.09147161194084824
Baden-Baden (kreisfreie Stadt),2005,54581,45,4832,772474.0,18264.0,148,390,0.08852897528443963
Baden-Baden (kreisfreie Stadt),2006,54855,45,4812,811523.0,14924.0,152,388,0.0877221766475253
Baden-Baden (kreisfreie Stadt),2007,54853,44,4788,869189.0,27634.0,157,380,0.08728784205057152
Baden-Baden (kreisfreie Stadt),2008,54777,44,5154,938606.0,23662.0,156,378,0.09409058546470234
Baden-Baden (kreisfreie Stadt),2009,54494,34,4463,695861.0,18355.0,138,373,0.08189892465225529
Baden-Baden (kreisfreie Stadt),2010,54445,31,4129,718245.0,14155.0,127,381,0.07583800165304436
Baden-Baden (kreisfreie Stadt),2011,52424,34,4477,737200.0,15094.0,137,314,0.0853998168777659
Baden-Baden (kreisfreie Stadt),2012,52585,35,4483,804474.0,18575.0,132,309,0.08525244841684891
Baden-Baden (kreisfreie Stadt),2013,53012,33,4277,721775.0,19033.0,128,306,0.08067984607258734
Baden-Baden (kreisfreie Stadt),2014,53342,31,4247,767585.0,19013.0,129,296,0.07961831202429605
Baden-Baden (kreisfreie Stadt),2015,54160,30,4235,776835.0,20778.0,124,301,0.07819423929098966
Baden-Baden (kreisfreie Stadt),2016,54307,30,4262,810558.0,19327.0,119,295,0.07847975399119819
Baden-Baden (kreisfreie Stadt),2017,54718,31,4436,810775.0,20576.0,125,293,0.08107021455462554
Baden-Baden (kreisfreie Stadt),2018,55123,31,4487,866701.0,19548.0,126,284,0.08139977867677739
Baden-Baden (kreisfreie Stadt),2019,55185,31,4563,884424.0,23987.0,124,304,0.08268551236749117
Baden-Baden (kreisfreie Stadt),2020,55449,30,4384,808449.0,17144.0,112,301,0.07906364406932496
Baden-Baden (kreisfreie Stadt),2021,55527,28,4223,825244.0,14274.0,116,317,0.0760530912889225
Baden-Baden (kreisfreie Stadt),2022,56094,26,4059,896605.0,23322.0,125,307,0.07236068028666168
Biberach (Landkreis),2003,187138,167,27471,4522576.0,243073.0,1398,1235,0.14679541301071936
Biberach (Landkreis),2004,187885,167,27761,4931620.0,200840.0,1507,1266,0.14775527583362164
Biberach (Landkreis),2005,188532,170,28294,5408156.0,211003.0,1606,1348,0.15007531877877495
Biberach (Landkreis),2006,188810,172,29227,6173612.0,259356.0,1754,1337,0.15479582649224088
Biberach (Landkreis),2007,189089,171,31242,6670479.0,344023.0,1767,1310,0.16522378350935274
Biberach (Landkreis),2008,189296,174,32484,7055948.0,318933.0,1870,1306,0.17160425999492857
Biberach (Landkreis),2009,189403,176,31390,5543326.0,262248.0,1687,1297,0.16573127141597546
Biberach (Landkreis),2010,189312,179,31599,6058493.0,222729.0,1847,1323,0.1669149340770791
Biberach (Landkreis),2011,187508,180,32630,6991880.0,246037.0,1982,1123,0.17401924184568124
Biberach (Landkreis),2012,187747,181,33523,7199392.0,281742.0,2061,1104,0.17855411804183288
Biberach (Landkreis),2013,188696,185,34267,7028789.0,290915.0,1947,1089,0.1815989740111078
Biberach (Landkreis),2014,190438,187,35396,7311361.0,290150.0,2032,1055,0.18586626618637037
Biberach (Landkreis),2015,194019,190,35593,7594766.0,299558.0,2117,1079,0.1834511053041197
Biberach (Landkreis),2016,196206,199,37233,8101937.0,342883.0,2231,1065,0.18976483899574936
Biberach (Landkreis),2017,198265,205,38525,8886748.0,346819.0,2291,1061,0.19431064484402188
Biberach (Landkreis),2018,199742,214,40357,9535003.0,357612.0,2403,1031,0.20204563887414764
Biberach (Landkreis),2019,201282,212,40727,9616238.0,396197.0,2336,1107,0.2023380133345257
Biberach (Landkreis),2020,202250,219,40260,8685947.0,329118.0,2168,1098,0.19906056860321383
Biberach (Landkreis),2021,203244,218,40445,9701418.0,368786.0,2203,1158,0.19899726437188797
Biberach (Landkreis),2022,205073,212,41000,10715598.0,417132.0,2154,1124,0.19992880583987166
Bodenseekreis (Landkreis),2003,203523,148,27823,4666600.0,171992.0,1573,1343,0.13670690781877232
Bodenseekreis (Landkreis),2004,204392,141,27396,4921245.0,148935.0,1580,1378,0.13403655720380445
Bodenseekreis (Landkreis),2005,205446,143,27484,5439830.0,181497.0,1623,1469,0.1337772456022507
Bodenseekreis (Landkreis),2006,205832,152,28130,6399278.0,208649.0,1709,1457,0.13666485288973532
Bodenseekreis (Landkreis),2007,206759,152,29750,6815227.0,266494.0,1811,1433,0.1438873277584047
Bodenseekreis (Landkreis),2008,207766,151,31802,7389724.0,350739.0,1853,1434,0.15306643050354726
Bodenseekreis (Landkreis),2009,207710,145,30399,5607195.0,238209.0,1528,1423,0.14635308844061432
Bodenseekreis (Landkreis),2010,208367,146,30293,6266291.0,168137.0,1658,1456,0.14538290612237062
