District_Code,Size,DName,DType,DN_DT,Bundesland,Regierungsbezirk,Regionalverband
8325,769.42,Rottweil,Landkreis,Rottweil (Landkreis),Baden-Württemberg,Freiburg,Region Schwarzwald-Baar-Heuberg
8311,153.04,Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),Baden-Württemberg,Freiburg,Region Südlicher Oberrhein
8337,1131.15,Waldshut,Landkreis,Waldshut (Landkreis),Baden-Württemberg,Freiburg,Region Hochrhein-Bodensee
8216,738.43,Rastatt,Landkreis,Rastatt (Landkreis),Baden-Württemberg,Karlsruhe,Region Karlsruhe
8336,806.66,Lörrach,Landkreis,Lörrach (Landkreis),Baden-Württemberg,Freiburg,Region Hochrhein-Bodensee
8335,817.98,Konstanz,Landkreis,Konstanz (Landkreis),Baden-Württemberg,Freiburg,Region Hochrhein-Bodensee
8215,1084.98,Karlsruhe,Landkreis,Karlsruhe (Landkreis),Baden-Württemberg,Karlsruhe,Region Karlsruhe
8316,679.8,Emmendingen,Landkreis,Emmendingen (Landkreis),Baden-Württemberg,Freiburg,Region Südlicher Oberrhein
8436,1632.08,Ravensburg,Landkreis,Ravensburg (Landkreis),Baden-Württemberg,Tübingen,Region Bodensee-Oberschwaben
8435,664.77,Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),Baden-Württemberg,Tübingen,Region Bodensee-Oberschwaben
8315,1378.32,Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),Baden-Württemberg,Freiburg,Region Südlicher Oberrhein
8421,118.68,Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),Baden-Württemberg,Tübingen,Region Donau-Iller
8327,734.38,Tuttlingen,Landkreis,Tuttlingen (Landkreis),Baden-Württemberg,Freiburg,Region Schwarzwald-Baar-Heuberg
8326,1025.34,Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),Baden-Württemberg,Freiburg,Region Schwarzwald-Baar-Heuberg
8236,573.6,Enzkreis,Landkreis,Enzkreis (Landkreis),Baden-Württemberg,Karlsruhe,Region Nordschwarzwald
8116,641.28,Esslingen,Landkreis,Esslingen (Landkreis),Baden-Württemberg,Stuttgart,Region Stuttgart
8235,797.29,Calw,Landkreis,Calw (Landkreis),Baden-Württemberg,Karlsruhe,Region Nordschwarzwald
8222,144.97,Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),Baden-Württemberg,Karlsruhe,Region Rhein-Neckar
8128,1304.12,Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),Baden-Württemberg,Stuttgart,Region Heilbronn-Franken
8115,617.76,Böblingen,Landkreis,Böblingen (Landkreis),Baden-Württemberg,Stuttgart,Region Stuttgart
8221,108.83,Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),Baden-Württemberg,Karlsruhe,Region Rhein-Neckar
8127,1484.08,Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),Baden-Württemberg,Stuttgart,Region Heilbronn-Franken
8126,776.75,Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),Baden-Württemberg,Stuttgart,Region Heilbronn-Franken
8226,1061.55,Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),Baden-Württemberg,Karlsruhe,Region Rhein-Neckar
8119,858.08,Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),Baden-Württemberg,Stuttgart,Region Stuttgart
8212,173.42,Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),Baden-Württemberg,Karlsruhe,Region Karlsruhe
8225,1125.95,Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),Baden-Württemberg,Karlsruhe,Region Rhein-Neckar
8118,686.77,Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),Baden-Württemberg,Stuttgart,Region Stuttgart
8211,140.19,Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),Baden-Württemberg,Karlsruhe,Region Karlsruhe
8237,870.4,Freudenstadt,Landkreis,Freudenstadt (Landkreis),Baden-Württemberg,Karlsruhe,Region Nordschwarzwald
8117,642.34,Göppingen,Landkreis,Göppingen (Landkreis),Baden-Württemberg,Stuttgart,Region Stuttgart
8121,99.89,Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),Baden-Württemberg,Stuttgart,Region Heilbronn-Franken
8125,1099.91,Heilbronn,Landkreis,Heilbronn (Landkreis),Baden-Württemberg,Stuttgart,Region Heilbronn-Franken
8231,97.99,Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),Baden-Württemberg,Karlsruhe,Region Nordschwarzwald
8111,207.33,Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),Baden-Württemberg,Stuttgart,Region Stuttgart
8136,1511.39,Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),Baden-Württemberg,Stuttgart,Region Ostwürttemberg
8135,627.14,Heidenheim,Landkreis,Heidenheim (Landkreis),Baden-Württemberg,Stuttgart,Region Ostwürttemberg
8426,1409.52,Biberach,Landkreis,Biberach (Landkreis),Baden-Württemberg,Tübingen,Region Donau-Iller
8425,1358.54,Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),Baden-Württemberg,Tübingen,Region Donau-Iller
8437,1204.24,Sigmaringen,Landkreis,Sigmaringen (Landkreis),Baden-Württemberg,Tübingen,Region Bodensee-Oberschwaben
8317,1860.29,Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),Baden-Württemberg,Freiburg,Region Südlicher Oberrhein
8417,917.58,Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),Baden-Württemberg,Tübingen,Region Neckar-Alb
8416,519.12,Tübingen,Landkreis,Tübingen (Landkreis),Baden-Württemberg,Tübingen,Region Neckar-Alb
8415,1092.48,Reutlingen,Landkreis,Reutlingen (Landkreis),Baden-Württemberg,Tübingen,Region Neckar-Alb
