Jahr,Stromverbrauch(TJ),Stromverbrauch(GJ/EW)
1991,57906,5.8500000000000005
1992,59062,5.88
1993,60548,5.97
1994,59814,5.87
1995,62183,6.08
1996,65588,6.390000000000001
1997,63522,6.18
1998,64134,6.23
1999,64768,6.2700000000000005
2000,63997,6.18
2001,65077,6.25
2002,67288,6.43
2003,69238,6.6000000000000005
2004,70874,6.74
2005,75226,7.15
2006,74433,7.08
2007,72859,6.93
2008,72528,6.9
2009,71818,6.8500000000000005
2010,73247,6.99
2011,62820,5.99
2012,62012,5.88
2013,61160,5.7700000000000005
2014,59151,5.54
2015,60029,5.5600000000000005
2016,59237,5.43
2017,58789,5.3500000000000005
2018,57051,5.16
2019,60997,5.5
2020,60315,5.43
2021,63399,5.7
2022,61394,5.48
2023,56074,4.96
