DName,DType,DN_DT,Jahr,Stromverbrauch(Haushalt)
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1991,1007
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1992,1030
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1993,1062
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1994,1051
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1995,1096
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1996,1161
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1997,1127
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1998,1142
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1999,1159
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2000,1149
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2001,1169
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2002,1210
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2003,1248
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2004,1279
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2005,1360
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2006,1347
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2007,1318
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2008,1314
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2009,1301
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2010,1326
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2011,1117
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2012,1100
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2013,1084
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2014,1048
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2015,1068
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2016,1050
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2017,1041
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2018,1012
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2019,1084
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2020,1076
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2021,1138
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2022,1098
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2023,1001
