DName,DType,DN_DT,Jahr,Stromverbrauch(Industrie)
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2022,3189
Böblingen,Landkreis,Böblingen (Landkreis),2022,2562
Esslingen,Landkreis,Esslingen (Landkreis),2022,2849
Göppingen,Landkreis,Göppingen (Landkreis),2022,1169
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2022,2658
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2022,1830
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2022,873
Heilbronn,Landkreis,Heilbronn (Landkreis),2022,3601
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2022,1185
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2022,1798
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2022,1069
Heidenheim,Landkreis,Heidenheim (Landkreis),2022,1556
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2022,4367
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2022,125
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2022,4282
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2022,2434
Rastatt,Landkreis,Rastatt (Landkreis),2022,3419
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2022,339
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2022,4533
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2022,831
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2022,2626
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2022,702
Calw,Landkreis,Calw (Landkreis),2022,680
Enzkreis,Landkreis,Enzkreis (Landkreis),2022,1615
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2022,1396
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2022,938
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2022,1549
Emmendingen,Landkreis,Emmendingen (Landkreis),2022,798
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2022,8379
Rottweil,Landkreis,Rottweil (Landkreis),2022,1677
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2022,1720
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2022,2119
Konstanz,Landkreis,Konstanz (Landkreis),2022,2016
Lörrach,Landkreis,Lörrach (Landkreis),2022,2061
Waldshut,Landkreis,Waldshut (Landkreis),2022,1219
Reutlingen,Landkreis,Reutlingen (Landkreis),2022,2255
Tübingen,Landkreis,Tübingen (Landkreis),2022,749
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2022,1466
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2022,1111
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2022,3509
Biberach,Landkreis,Biberach (Landkreis),2022,2154
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2022,2005
Ravensburg,Landkreis,Ravensburg (Landkreis),2022,2162
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2022,1007
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2021,3448
Böblingen,Landkreis,Böblingen (Landkreis),2021,2582
Esslingen,Landkreis,Esslingen (Landkreis),2021,3032
Göppingen,Landkreis,Göppingen (Landkreis),2021,1188
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2021,2670
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2021,1861
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2021,914
Heilbronn,Landkreis,Heilbronn (Landkreis),2021,3654
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2021,1238
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2021,1861
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2021,1087
Heidenheim,Landkreis,Heidenheim (Landkreis),2021,1637
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2021,4232
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2021,116
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2021,4360
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2021,2460
Rastatt,Landkreis,Rastatt (Landkreis),2021,3654
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2021,353
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2021,4527
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2021,851
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2021,2780
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2021,725
Calw,Landkreis,Calw (Landkreis),2021,673
Enzkreis,Landkreis,Enzkreis (Landkreis),2021,1653
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2021,1438
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2021,952
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2021,1641
Emmendingen,Landkreis,Emmendingen (Landkreis),2021,792
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2021,8841
Rottweil,Landkreis,Rottweil (Landkreis),2021,1737
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2021,1748
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2021,2152
Konstanz,Landkreis,Konstanz (Landkreis),2021,2008
Lörrach,Landkreis,Lörrach (Landkreis),2021,2094
Waldshut,Landkreis,Waldshut (Landkreis),2021,1258
Reutlingen,Landkreis,Reutlingen (Landkreis),2021,2206
Tübingen,Landkreis,Tübingen (Landkreis),2021,741
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2021,1497
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2021,1109
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2021,3348
Biberach,Landkreis,Biberach (Landkreis),2021,2203
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2021,1704
Ravensburg,Landkreis,Ravensburg (Landkreis),2021,2244
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2021,1030
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2020,3030
Böblingen,Landkreis,Böblingen (Landkreis),2020,2811
Esslingen,Landkreis,Esslingen (Landkreis),2020,2987
Göppingen,Landkreis,Göppingen (Landkreis),2020,1264
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2020,2641
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2020,1773
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2020,895
Heilbronn,Landkreis,Heilbronn (Landkreis),2020,3524
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2020,1319
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2020,1912
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2020,1026
Heidenheim,Landkreis,Heidenheim (Landkreis),2020,1456
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2020,3899
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2020,112
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2020,4343
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2020,2446
Rastatt,Landkreis,Rastatt (Landkreis),2020,3579
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2020,334
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2020,4494
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2020,740
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2020,2617
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2020,695
Calw,Landkreis,Calw (Landkreis),2020,624
Enzkreis,Landkreis,Enzkreis (Landkreis),2020,1505
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2020,1326
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2020,960
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2020,1590
Emmendingen,Landkreis,Emmendingen (Landkreis),2020,775
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2020,8487
Rottweil,Landkreis,Rottweil (Landkreis),2020,1601
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2020,1596
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2020,1933
Konstanz,Landkreis,Konstanz (Landkreis),2020,1901
Lörrach,Landkreis,Lörrach (Landkreis),2020,2030
Waldshut,Landkreis,Waldshut (Landkreis),2020,1240
Reutlingen,Landkreis,Reutlingen (Landkreis),2020,2129
Tübingen,Landkreis,Tübingen (Landkreis),2020,687
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2020,1416
