DName,DType,DN_DT,Jahr,Betriebe,Beschäftigte,Gesamtumsatz
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1995,152,16075,2087975.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1996,148,15858,2134438.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1997,162,16456,2506318.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1998,157,16590,2587004.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1999,164,16987,2845454.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2000,166,17551,3088531.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2001,162,17864,3125407.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2002,168,17345,3073172.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2003,162,16707,3021712.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2004,160,16279,3221256.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2005,164,16288,3291576.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2006,163,16465,3720086.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2007,162,17512,4175860.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2008,165,18264,4498407.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2009,166,17320,3744477.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2010,163,17544,4292569.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2011,164,18361,4687752.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2012,172,18437,4215001.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2013,177,18556,4470868.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2014,176,18871,4629482.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2015,177,18882,4781558.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2016,176,18852,4770085.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2017,180,19547,4948207.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2018,189,20470,5341696.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2019,192,20961,5469670.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2020,196,20498,5221626.0
