DName,DType,DN_DT,Jahr,Investitionen,Investitionen je Beschäftigten
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1995,84056.0,5218.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1996,93099.0,5920.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1997,80596.0,4885.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1998,92726.0,5578.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),1999,114474.0,6646.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2000,145916.0,8312.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2001,136344.0,7628.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2002,139917.0,8127.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2003,90067.0,5429.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2004,101644.0,6214.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2005,125685.0,7694.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2006,158005.0,9441.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2007,144512.0,8283.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2008,202217.0,11086.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2009,129162.0,7456.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2010,109740.0,6271.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2011,144942.0,7899.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2012,145364.0,7912.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2013,129966.0,7033.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2014,118449.0,6304.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2015,123065.0,6534.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2016,134159.0,7121.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2017,152441.0,7878.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2018,199724.0,9780.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2019,170195.0,8169.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2020,139151.0,6839.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2021,145529.0,7129.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2022,169104.0,8114.0
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2023,197187.0,9248.0
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),1995,17049.0,3539.0
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),1996,19281.0,3956.0
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),1997,21306.0,4393.0
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),1998,21309.0,4323.0
