Jahr,Betriebe,Beschäftigte,Gesamtumsatz,Beschäftigte_norm,Gesamtumsatz_norm
1995,8755,1264573,178954280,0.4342494475201124,-1.6062039878970489
1996,8598,1228034,181351575,-0.40593105494246395,-1.5726951241631175
1997,8899,1225918,192944301,-0.4545865174129971,-1.4106545426582118
1998,8872,1244972,207282195,-0.01645741442928301,-1.2102426049210737
1999,8946,1246669,216010083,0.022563530661688067,-1.0882461006623094
2000,8878,1258939,236670829,0.30470082958108413,-0.799454724400578
2001,8802,1273688,242846961,0.6438404401566483,-0.7131261058572728
2002,9042,1259690,240430406,0.3219693798246429,-0.7469041816470902
2003,8769,1230273,241719615,-0.35444732126026934,-0.7288839009951229
2004,8592,1211622,251441957,-0.7833098120626862,-0.5929871368285612
2005,8616,1201507,261930289,-1.0158948795907785,-0.4463835324393509
2006,8538,1196798,283987989,-1.1241739782551172,-0.13806583954634533
2007,8456,1229219,302439259,-0.3786830761959697,0.11984196577088752
2008,8491,1254198,302707141,0.1956859205202156,0.12358636161485874
2009,8107,1159070,233791284,-1.991694435763754,-0.8397043728671719
2010,8047,1154981,272873216,-2.085717207995328,-0.2934256988421681
2011,8102,1192238,304806662,-1.229026959760614,0.15293300568474888
2012,8119,1209241,308984517,-0.8380587043794818,0.21133014658527377
2013,8255,1220105,313640224,-0.588251074757614,0.27640659793903305
2014,8257,1234972,328261624,-0.2463981633448462,0.4807813203654779
2015,8187,1244582,345728881,-0.025425103636989972,0.7249348077829875
2016,8265,1259637,349552726,0.3207506938553904,0.7783836745451819
2017,8364,1288353,361454013,0.9810485484413217,0.9447372540343181
2018,8470,1323880,370701858,1.797959047113643,1.074001603201825
2019,8550,1333826,369854946,2.0266581159850623,1.0621636530110343
2020,8683,1286859,346649079,0.9466954005533366,0.7377971336086518
2021,8602,1283244,389969798,0.8635718198203605,1.3433246426665406
2022,8514,1297776,437291645,1.1977217161444569,2.004779041378818
2023,8515,1310080,447822473,1.4806408136101659,2.1519766455357816
