DName,DType,Jahr,Betriebe,Beschäftigte,Gesamtumsatz
Alb-Donau-Kreis,Landkreis,1995,152,16075.0,2087975.0
Alb-Donau-Kreis,Landkreis,1996,148,15858.0,2134438.0
Alb-Donau-Kreis,Landkreis,1997,162,16456.0,2506318.0
Alb-Donau-Kreis,Landkreis,1998,157,16590.0,2587004.0
Alb-Donau-Kreis,Landkreis,1999,164,16987.0,2845454.0
Alb-Donau-Kreis,Landkreis,2000,166,17551.0,3088531.0
Alb-Donau-Kreis,Landkreis,2001,162,17864.0,3125407.0
Alb-Donau-Kreis,Landkreis,2002,168,17345.0,3073172.0
Alb-Donau-Kreis,Landkreis,2003,162,16707.0,3021712.0
Alb-Donau-Kreis,Landkreis,2004,160,16279.0,3221256.0
Alb-Donau-Kreis,Landkreis,2005,164,16288.0,3291576.0
Alb-Donau-Kreis,Landkreis,2006,163,16465.0,3720086.0
Alb-Donau-Kreis,Landkreis,2007,162,17512.0,4175860.0
Alb-Donau-Kreis,Landkreis,2008,165,18264.0,4498407.0
Alb-Donau-Kreis,Landkreis,2009,166,17320.0,3744477.0
Alb-Donau-Kreis,Landkreis,2010,163,17544.0,4292569.0
Alb-Donau-Kreis,Landkreis,2011,164,18361.0,4687752.0
Alb-Donau-Kreis,Landkreis,2012,172,18437.0,4215001.0
Alb-Donau-Kreis,Landkreis,2013,177,18556.0,4470868.0
Alb-Donau-Kreis,Landkreis,2014,176,18871.0,4629482.0
Alb-Donau-Kreis,Landkreis,2015,177,18882.0,4781558.0
Alb-Donau-Kreis,Landkreis,2016,176,18852.0,4770085.0
Alb-Donau-Kreis,Landkreis,2017,180,19547.0,4948207.0
Alb-Donau-Kreis,Landkreis,2018,189,20470.0,5341696.0
Alb-Donau-Kreis,Landkreis,2019,192,20961.0,5469670.0
Alb-Donau-Kreis,Landkreis,2020,196,20498.0,5221626.0
Alb-Donau-Kreis,Landkreis,2021,191,20498.0,5920332.0
Alb-Donau-Kreis,Landkreis,2022,185,20944.0,6409035.0
Alb-Donau-Kreis,Landkreis,2023,187,21413.0,6854521.0
Baden-Baden,kreisfreie Stadt,1995,39,4710.0,613449.0
Baden-Baden,kreisfreie Stadt,1996,40,4830.0,619491.0
Baden-Baden,kreisfreie Stadt,1997,42,4863.0,646489.0
Baden-Baden,kreisfreie Stadt,1998,45,4960.0,669110.0
Baden-Baden,kreisfreie Stadt,1999,45,4906.0,703927.0
Baden-Baden,kreisfreie Stadt,2000,40,4904.0,732004.0
Baden-Baden,kreisfreie Stadt,2001,40,4864.0,733369.0
Baden-Baden,kreisfreie Stadt,2002,44,5079.0,776344.0
Baden-Baden,kreisfreie Stadt,2003,43,4997.0,766608.0
Baden-Baden,kreisfreie Stadt,2004,43,4967.0,780307.0
Baden-Baden,kreisfreie Stadt,2005,45,4832.0,772474.0
Baden-Baden,kreisfreie Stadt,2006,45,4812.0,811523.0
Baden-Baden,kreisfreie Stadt,2007,44,4788.0,869189.0
Baden-Baden,kreisfreie Stadt,2008,44,5154.0,938606.0
Baden-Baden,kreisfreie Stadt,2009,34,4463.0,695861.0
Baden-Baden,kreisfreie Stadt,2010,31,4129.0,718245.0
Baden-Baden,kreisfreie Stadt,2011,34,4477.0,737200.0
Baden-Baden,kreisfreie Stadt,2012,35,4483.0,804474.0
Baden-Baden,kreisfreie Stadt,2013,33,4277.0,721775.0
Baden-Baden,kreisfreie Stadt,2014,31,4247.0,767585.0
Baden-Baden,kreisfreie Stadt,2015,30,4235.0,776835.0
Baden-Baden,kreisfreie Stadt,2016,30,4262.0,810558.0
Baden-Baden,kreisfreie Stadt,2017,31,4436.0,810775.0
Baden-Baden,kreisfreie Stadt,2018,31,4487.0,866701.0
Baden-Baden,kreisfreie Stadt,2019,31,4563.0,884424.0
Baden-Baden,kreisfreie Stadt,2020,30,4384.0,808449.0
Baden-Baden,kreisfreie Stadt,2021,28,4223.0,825244.0
Baden-Baden,kreisfreie Stadt,2022,26,4059.0,896605.0
Baden-Baden,kreisfreie Stadt,2023,26,4094.0,890729.0
Biberach,Landkreis,1995,146,23161.0,3211085.0
Biberach,Landkreis,1996,148,22844.0,3115971.0
Biberach,Landkreis,1997,165,23199.0,3411759.0
Biberach,Landkreis,1998,164,23539.0,3461096.0
Biberach,Landkreis,1999,165,24092.0,3605141.0
Biberach,Landkreis,2000,165,24742.0,3898520.0
Biberach,Landkreis,2001,163,25880.0,4068342.0
Biberach,Landkreis,2002,170,26555.0,4233953.0
Biberach,Landkreis,2003,167,27471.0,4522576.0
Biberach,Landkreis,2004,167,27761.0,4931620.0
Biberach,Landkreis,2005,170,28294.0,5408156.0
Biberach,Landkreis,2006,172,29227.0,6173612.0
Biberach,Landkreis,2007,171,31242.0,6670479.0
Biberach,Landkreis,2008,174,32484.0,7055948.0
Biberach,Landkreis,2009,176,31390.0,5543326.0
Biberach,Landkreis,2010,179,31599.0,6058493.0
Biberach,Landkreis,2011,180,32630.0,6991880.0
Biberach,Landkreis,2012,181,33523.0,7199392.0
Biberach,Landkreis,2013,185,34267.0,7028789.0
Biberach,Landkreis,2014,187,35396.0,7311361.0
Biberach,Landkreis,2015,190,35593.0,7594766.0
Biberach,Landkreis,2016,199,37233.0,8101937.0
Biberach,Landkreis,2017,205,38525.0,8886748.0
Biberach,Landkreis,2018,214,40357.0,9535003.0
Biberach,Landkreis,2019,212,40727.0,9616238.0
Biberach,Landkreis,2020,219,40260.0,8685947.0
Biberach,Landkreis,2021,218,40445.0,9701418.0
Biberach,Landkreis,2022,212,41000.0,10715598.0
Biberach,Landkreis,2023,212,41696.0,11043618.0
Bodenseekreis,Landkreis,1995,122,25815.0,3226457.0
Bodenseekreis,Landkreis,1996,121,25756.0,3886252.0
Bodenseekreis,Landkreis,1997,130,25812.0,4190144.0
Bodenseekreis,Landkreis,1998,134,26549.0,4226913.0
Bodenseekreis,Landkreis,1999,131,26785.0,4612415.0
Bodenseekreis,Landkreis,2000,137,27469.0,4691216.0
Bodenseekreis,Landkreis,2001,137,28080.0,4547545.0
